symbol,name,opt-in,opt-out
SZ000968,煤气化,2008-12-25,2013-07-01
SZ000969,安泰科技,2006-01-01,2013-12-16
SZ000970,中科三环,2005-04-08,2008-06-14
SZ000970,中科三环,2013-01-01,2015-12-14
SZ000975,山金国际,2005-07-01,2006-06-22
SZ000975,山金国际,2024-12-13,
SZ000977,浪潮信息,2016-06-13,2017-12-11
SZ000977,浪潮信息,2020-06-15,
SZ000983,山西焦煤,2005-04-08,2016-06-13
SZ000983,山西焦煤,2016-12-12,2019-06-17
SZ000983,山西焦煤,2023-06-09,
SZ000997,新大陆,2006-06-22,2008-01-01
SZ000999,华润三九,2009-07-01,2016-12-12
SZ000999,华润三九,2023-12-08,
SZ001289,龙源电力,2022-06-10,2025-12-08
SZ001391,国货航,2025-06-13,
SZ001965,招商公路,2018-06-11,2019-06-17
SZ001965,招商公路,2024-06-14,
SZ001979,招商蛇口,2015-12-30,
SZ002001,新和成,2008-12-25,2015-12-14
SZ002001,新和成,2018-12-17,
SZ002007,华兰生物,2010-01-01,2025-06-13
SZ002008,大族激光,2007-01-01,2008-01-01
SZ002008,大族激光,2014-06-16,2023-06-09
SZ002010,传化智联,2019-06-17,2020-06-15
SZ002024,ST易购,2005-07-01,2022-06-10
SZ002025,航天电器,2007-01-01,2007-11-16
SZ002027,分众传媒,2016-06-13,
SZ002028,思源电气,2009-07-01,2012-01-01
SZ002028,思源电气,2024-12-13,
SZ002032,苏泊尔,2018-12-17,2023-06-09
SZ002038,双鹭药业,2009-07-01,2010-01-01
SZ002038,双鹭药业,2012-01-01,2016-06-13
SZ002044,美年健康,2017-06-12,2022-06-10
SZ002049,紫光国微,2016-12-12,2017-12-11
SZ002049,紫光国微,2020-12-14,
SZ002050,三花智控,2018-06-11,
SZ002051,中工国际,2007-01-01,2008-01-01
SZ002051,中工国际,2013-07-01,2015-12-14
SZ002052,同洲电子,2007-01-01,2007-07-02
SZ002064,华峰化学,2021-12-10,2023-12-08
SZ002065,东华软件,2013-12-16,2019-12-16
SZ002069,獐子岛,2007-07-02,2008-01-01
SZ002069,獐子岛,2011-07-01,2014-06-16
SZ002073,软控股份,2011-07-01,2013-07-01
SZ002074,国轩高科,2016-12-12,2018-12-17
SZ002074,国轩高科,2022-06-10,
SZ002078,太阳纸业,2007-07-02,2008-01-01
SZ002081,金螳螂,2012-07-02,2020-06-15
SZ002083,孚日股份,2007-07-02,2008-01-01
SZ002085,万丰奥威,2016-12-12,2017-06-12
SZ002085,万丰奥威,2018-06-11,2019-06-17
SZ002092,中泰化学,2011-01-01,2013-12-16
SZ002097,山河智能,2007-07-02,2008-01-01
SZ002097,山河智能,2008-06-14,2009-07-01
SZ002106,莱宝高科,2007-07-02,2008-01-01
SZ002106,莱宝高科,2011-07-01,2014-12-15
SZ002110,三钢闽光,2007-07-02,2008-06-14
SZ002120,韵达股份,2018-12-17,2023-12-08
SZ002122,天马股份,2008-01-01,2008-06-14
SZ002122,天马股份,2009-07-01,2013-07-01
SZ002128,露天煤业,2008-01-01,2013-12-16
SZ002129,TCL中环,2013-12-16,2017-06-12
SZ002129,TCL中环,2020-06-15,2025-12-08
SZ002131,利欧股份,2016-12-12,2017-12-11
SZ002142,宁波银行,2008-01-01,
SZ002146,荣盛发展,2008-06-14,2009-07-01
SZ002146,荣盛发展,2011-01-01,2021-06-11
SZ002152,广电运通,2008-12-25,2009-07-01
SZ002152,广电运通,2016-06-13,2017-12-11
SZ002153,石基信息,2014-12-15,2021-12-10
SZ002155,辰州矿业,2008-06-14,2014-06-16
SZ002157,正邦科技,2020-06-15,2022-06-10
SZ002174,游族网络,2016-12-12,2018-06-11
SZ002179,中航光电,2018-12-17,
SZ002180,纳思达,2022-12-09,2025-12-08
SZ002183,怡亚通,2016-06-13,2017-12-11
SZ002194,武汉凡谷,2009-07-01,2010-01-01
SZ002195,二三四五,2015-12-14,2017-12-11
SZ002202,金风科技,2008-06-14,2024-06-14
SZ002230,科大讯飞,2013-12-16,
SZ002236,大华股份,2013-01-01,
SZ002241,歌尔声学,2012-07-02,
SZ002242,九阳股份,2009-07-01,2011-07-01
SZ002244,滨江集团,2009-07-01,2012-07-02
SZ002252,上海莱士,2014-06-16,
SZ002269,美邦服饰,2009-07-01,2010-01-01
SZ002269,美邦服饰,2013-07-01,2014-12-15
SZ002271,东方雨虹,2018-12-17,2025-06-13
SZ002275,桂林三金,2010-01-01,2010-07-01
SZ002292,奥飞娱乐,2014-06-16,2018-06-11
SZ002294,信立泰,2011-01-01,2012-01-01
SZ002294,信立泰,2013-07-01,2016-12-12
SZ002294,信立泰,2017-12-11,2020-06-15
SZ002299,圣农发展,2012-01-01,2014-06-16
SZ002299,圣农发展,2016-12-12,2017-12-11
SZ002304,洋河股份,2010-07-01,
SZ002310,东方园林,2011-07-01,2015-12-14
SZ002310,东方园林,2016-12-12,2019-12-16
SZ002311,海大集团,2018-12-17,
SZ002344,海宁皮城,2012-01-01,2015-12-14
SZ002352,顺丰控股,2017-06-12,
SZ002353,杰瑞股份,2012-07-02,2016-06-13
SZ002371,北方华创,2020-06-15,
SZ002375,亚厦股份,2013-01-01,2016-06-13
SZ002378,章源钨业,2012-01-01,2013-12-16
SZ002384,东山精密,2020-12-14,2021-12-10
SZ002384,东山精密,2025-12-08,
SZ002385,大北农,2011-01-01,2018-12-17
SZ002399,海普瑞,2011-01-01,2016-12-12
SZ002400,省广股份,2014-06-16,2015-06-15
SZ002405,四维图新,2011-01-01,2013-07-01
SZ002410,广联达,2014-06-16,2016-06-13
SZ002410,广联达,2019-06-17,2024-12-13
SZ002411,延安必康,2017-06-12,2020-06-15
SZ002414,高德红外,2020-12-14,2023-12-08
SZ002415,海康威视,2011-01-01,
SZ002416,爱施德,2014-06-16,2015-06-15
SZ002422,科伦药业,2011-01-01,2016-12-12
SZ002422,科伦药业,2018-12-17,2021-06-11
SZ002422,科伦药业,2024-12-13,
SZ002424,贵州百灵,2016-06-13,2018-06-11
SZ002426,胜利精密,2016-12-12,2018-06-11
SZ002429,兆驰股份,2014-06-16,2015-06-15
SZ002431,棕榈园林,2012-01-01,2014-06-16
SZ002450,*ST康得,2013-07-01,2019-06-17
SZ002456,欧菲光,2013-12-16,2021-12-10
SZ002459,晶澳科技,2021-12-10,
SZ002460,赣锋锂业,2017-12-11,
SZ002463,沪电股份,2020-06-15,2021-12-10
SZ002463,沪电股份,2024-12-13,
