symbol,name,opt-in,opt-out
SPLK,Splunk,2019-12-23,2022-12-19
SPLK,Splunk,2023-12-18,2024-03-18
SPLS,Staples,2006-01-01,2015-12-21
SRCL,Stericycle,2007-12-24,2016-12-19
STLD,Steel Dynamics,2007-12-24,2009-12-21
STRZA,Starz,2013-01-15,2013-03-18
STX,Seagate Technology,2008-11-10,2018-12-24
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),2025-12-22,
SWKS,Skyworks Solutions,2015-08-03,2022-12-19
TCFCA,21st Century Fox Class A,2006-01-01,2019-03-19
TCFCB,21st Century Fox Class B,2006-01-01,2019-03-19
TCOM,Trip.com,2006-01-01,2021-12-20
TEAM,Atlassian,2020-12-21,2026-04-20
TEVA,Teva Pharmaceutical Industries,2006-01-01,2012-05-30
TLAB,Tellabs,2006-01-01,2008-05-19
TMUS,"T-Mobile US, Inc.",2015-12-21,
TRI,Thomson Reuters Corporation Common Shares,2025-07-28,
TRIP,TripAdvisor,2013-12-23,2017-04-24
TSCO,Tractor Supply Company,2013-12-23,2017-12-18
TSLA,"Tesla, Inc.",2013-07-15,
TTD,The Trade Desk,2023-07-17,2025-12-22
TTWO,Take-Two Interactive,2017-12-18,2020-12-21
TTWO,"Take-Two Interactive Software, Inc.",2023-12-14,
TXN,Texas Instruments Incorporated,2012-04-23,
UAL,United Continental Holdings,2018-12-24,2020-06-22
UAUA,UAL Corporation,2007-03-08,2008-07-21
ULTA,Ulta Beauty,2015-12-21,2020-12-21
URBN,Urban Outfitters,2008-12-22,2011-12-19
VIAB,Viacom,2012-05-30,2017-12-18
VIP,VimpelCom,2013-10-29,2015-12-21
VMED,Virgin Media,2007-08-27,2008-12-22
VMED,Virgin Media,2009-12-21,2013-06-05
VOD,Vodafone,2009-12-21,2018-12-24
VRSK,"Verisk Analytics, Inc.",2012-12-24,
VRSN,VeriSign,2006-01-01,2012-12-24
VRSN,Verisign,2018-12-24,2022-12-19
VRTX,Vertex Pharmaceuticals Incorporated,2006-01-01,
VSNT,Versant,2026-01-05,2026-01-09
WBA,Walgreens Boots Alliance,2015-03-23,2024-07-22
WBD,"Warner Bros. Discovery, Inc. Series A",2022-12-19,
WCRX,Warner Chilcott,2008-12-22,2012-12-24
WDAY,"Workday, Inc. Class A",2017-12-18,
WDC,Western Digital,2012-12-24,2020-10-19
WDC,Western Digital Corporation,2025-12-22,
WFM,Whole Foods Market,2006-01-01,2016-12-19
WLTW,Willis Towers Watson,2018-12-24,
WMT,Walmart Inc.,2026-01-20,
WTW,Willis Towers Watson,2006-01-01,2020-04-30
WYNN,Wynn Resorts,2006-01-01,2015-12-21
WYNN,Wynn Resorts,2017-04-24,2019-12-23
XEL,Xcel Energy Inc.,2018-11-19,
XLNX,Xilinx,2006-01-01,2022-02-22
XMSR,XM Satellite Radio,2006-01-01,2007-12-24
XRAY,Dentsply,2006-01-01,2013-12-23
XRAY,Dentsply Sirona,2016-06-20,2018-11-19
YHOO,Yahoo! Inc.,2006-01-01,2017-06-19
ZM,Zoom Video Communications,2020-04-30,2023-12-18
ZS,"Zscaler, Inc.",2021-12-20,
