symbol,name,opt-in
SZ002939,长城证券,2021-12-10
SZ002945,华林证券,2021-12-10
SZ002958,青农商行,2021-06-11
SZ002966,苏州银行,2007-01-15
SZ002984,森麒麟,2024-06-14
SZ003021,兆威机电,2025-12-12
SZ003022,联泓新科,2023-12-08
SZ003031,中瓷电子,2023-12-08
SZ003035,南网能源,2021-06-11
SZ300001,特锐德,2007-01-15
SZ300002,神州泰岳,2024-06-14
SZ300003,乐普医疗,2022-12-09
SZ300012,华测检测,2022-06-10
SZ300017,网宿科技,2007-01-15
SZ300024,机器人,2007-01-15
SZ300037,新宙邦,2021-06-11
SZ300054,鼎龙股份,2024-06-14
SZ300058,蓝色光标,2007-01-15
SZ300070,碧水源,2007-01-15
SZ300073,当升科技,2022-06-10
SZ300100,双林股份,2025-12-12
SZ300115,长盈精密,2025-06-13
SZ300136,信维通信,2021-12-10
SZ300140,节能环境,2024-12-13
SZ300142,沃森生物,2024-12-13
SZ300144,宋城演艺,2022-06-10
SZ300146,汤臣倍健,2007-01-15
SZ300207,欣旺达,2023-12-08
SZ300223,北京君正,2024-12-13
SZ300285,国瓷材料,2007-01-15
SZ300339,润和软件,2024-12-13
SZ300346,南大光电,2025-06-13
SZ300373,扬杰科技,2022-12-09
SZ300383,光环新网,2021-06-11
SZ300390,天华新能,2022-06-10
SZ300395,菲利华,2023-06-09
SZ300432,富临精工,2025-12-12
SZ300450,先导智能,2025-06-13
SZ300454,深信服,2025-06-13
SZ300458,全志科技,2025-06-13
SZ300474,景嘉微,2007-01-15
SZ300487,蓝晓科技,2023-06-09
SZ300496,中科创达,2024-12-13
SZ300529,健帆生物,2023-06-09
SZ300558,贝达药业,2022-06-10
SZ300567,精测电子,2024-06-14
SZ300570,太辰光,2025-12-12
SZ300601,康泰生物,2023-12-08
SZ300604,长川科技,2022-12-09
SZ300623,捷捷微电,2025-06-13
SZ300627,华测导航,2025-06-13
SZ300676,华大基因,2022-06-10
SZ300677,英科医疗,2022-06-10
SZ300679,电连技术,2025-06-13
SZ300699,光威复材,2007-01-15
SZ300718,长盛轴承,2025-12-12
SZ300724,捷佳伟创,2021-12-10
SZ300735,光弘科技,2025-06-13
SZ300748,金力永磁,2023-06-09
SZ300751,迈为股份,2024-12-13
SZ300757,罗博特科,2025-06-13
SZ300763,锦浪科技,2024-06-14
SZ300857,协创数据,2025-06-13
SZ300888,稳健医疗,2022-06-10
SZ300919,中伟新材,2024-12-13
SZ300957,贝泰妮,2024-12-13
SZ300972,万辰集团,2025-12-12
SZ301200,大族数控,2025-12-12
SZ301301,川宁生物,2024-12-13
SZ301308,江波龙,2024-12-13
SZ301358,湖南裕能,2024-06-14
SZ301498,乖宝宠物,2024-12-13
SZ301536,星宸科技,2025-06-13
SZ301611,珂玛科技,2025-12-12
